epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2123.99,2.0408,1.10668,0.87261,0.77899,0.65272,0.69727,0.27877,1.96266,0.96768,0.90552,0.0014753,0.0014753,0.0014753
55,2163.34,2.02636,1.10566,0.87894,0.78255,0.65272,0.70621,0.27757,1.95451,0.98199,0.91462,0.0014654,0.0014654,0.0014654
56,2202.76,2.00914,1.09978,0.87345,0.76601,0.64512,0.67968,0.27796,1.953,0.991,0.91545,0.0014555,0.0014555,0.0014555
57,2242.22,2.04119,1.09874,0.87276,0.77743,0.63625,0.7101,0.28854,1.9279,0.95305,0.90257,0.0014456,0.0014456,0.0014456
58,2281.57,2.01035,1.07647,0.87863,0.81773,0.64132,0.71846,0.29831,1.95478,0.95871,0.90364,0.0014357,0.0014357,0.0014357
59,2320.95,1.99954,1.08583,0.87034,0.78322,0.64766,0.69604,0.27524,1.92649,0.95186,0.90313,0.0014258,0.0014258,0.0014258
60,2360.35,2.03733,1.08262,0.87308,0.76906,0.63309,0.70049,0.28907,1.89804,0.98303,0.90202,0.0014159,0.0014159,0.0014159
61,2399.95,2.00963,1.06522,0.87475,0.78452,0.6737,0.7219,0.30518,1.84712,0.95166,0.90009,0.001406,0.001406,0.001406
62,2439.38,1.98014,1.06335,0.87642,0.76414,0.68188,0.7082,0.29603,1.86397,0.99115,0.89962,0.0013961,0.0013961,0.0013961
63,2478.8,1.99059,1.0799,0.8684,0.79433,0.64766,0.71628,0.29957,1.90521,0.94974,0.9021,0.0013862,0.0013862,0.0013862
64,2518.41,1.99009,1.05719,0.869,0.80028,0.65007,0.71412,0.29537,1.90917,0.97941,0.89837,0.0013763,0.0013763,0.0013763
65,2557.93,1.95517,1.03713,0.86928,0.77058,0.65399,0.70611,0.2957,1.87602,0.9644,0.89273,0.0013664,0.0013664,0.0013664
66,2597.37,1.9857,1.07916,0.86987,0.78653,0.67047,0.71462,0.29381,1.87658,0.9366,0.89814,0.0013565,0.0013565,0.0013565
67,2636.66,1.97374,1.0533,0.87129,0.78613,0.62484,0.70785,0.28098,1.92946,0.96225,0.89613,0.0013466,0.0013466,0.0013466
68,2676.05,1.98332,1.03839,0.87531,0.7852,0.62548,0.69461,0.28564,1.9258,0.95972,0.90256,0.0013367,0.0013367,0.0013367
69,2715.54,2.00324,1.05442,0.87365,0.7841,0.67681,0.72983,0.29737,1.93095,0.96299,0.8977,0.0013268,0.0013268,0.0013268
70,2754.93,1.96533,1.03699,0.87748,0.79054,0.66968,0.71978,0.30099,1.88836,0.97211,0.90092,0.0013169,0.0013169,0.0013169
71,2794.31,1.97574,1.03427,0.86874,0.77632,0.6654,0.72934,0.29606,1.92664,0.97345,0.90748,0.001307,0.001307,0.001307
72,2833.68,1.95943,1.03271,0.87148,0.81457,0.67047,0.72616,0.30227,1.87774,0.95114,0.90503,0.0012971,0.0012971,0.0012971
73,2873.1,1.98863,1.02768,0.87567,0.81784,0.67174,0.7275,0.30338,1.90936,0.8999,0.89987,0.0012872,0.0012872,0.0012872
