epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1388.36,1.02739,0.65634,0.83795,0.83216,0.87757,0.92993,0.63777,1.06527,0.61066,0.86399,0.0006932,0.0006932,0.0006932
68,1406.52,1.00512,0.61304,0.85944,0.90197,0.87611,0.93394,0.63179,1.08303,0.59111,0.86059,0.0006734,0.0006734,0.0006734
69,1428.52,1.0248,0.59901,0.85916,0.88294,0.88496,0.94405,0.64362,1.11841,0.64617,0.86126,0.0006536,0.0006536,0.0006536
70,1447.97,1.04107,0.63906,0.86409,0.90755,0.86878,0.93827,0.64882,1.10846,0.59888,0.86252,0.0006338,0.0006338,0.0006338
71,1470.57,0.9785,0.60755,0.83467,0.9247,0.86726,0.94468,0.63403,1.10387,0.61866,0.85987,0.000614,0.000614,0.000614
72,1489.14,1.0197,0.60781,0.84359,0.87134,0.90265,0.93522,0.6247,1.10788,0.64554,0.86672,0.0005942,0.0005942,0.0005942
73,1510.72,0.98372,0.60977,0.84598,0.91581,0.86643,0.93222,0.65189,1.06657,0.60505,0.87217,0.0005744,0.0005744,0.0005744
74,1530.22,1.01087,0.59909,0.83983,0.88596,0.88496,0.93095,0.6422,1.09848,0.59478,0.86331,0.0005546,0.0005546,0.0005546
75,1551.88,1.04141,0.62883,0.86386,0.88628,0.89381,0.93015,0.65281,1.08347,0.59702,0.84724,0.0005348,0.0005348,0.0005348
76,1571.89,0.98851,0.59114,0.83236,0.92501,0.90265,0.95438,0.63987,1.13389,0.60539,0.85468,0.000515,0.000515,0.000515
77,1593.6,1.00431,0.58754,0.85308,0.90321,0.87611,0.93066,0.65142,1.08697,0.57182,0.85129,0.0004952,0.0004952,0.0004952
78,1612.57,1.02942,0.61404,0.85033,0.94895,0.87611,0.94859,0.63079,1.12485,0.59282,0.85038,0.0004754,0.0004754,0.0004754
79,1635.29,1.05099,0.61089,0.84548,0.90003,0.87638,0.93305,0.65243,1.0481,0.57879,0.85383,0.0004556,0.0004556,0.0004556
80,1653.04,0.98263,0.60533,0.8389,0.86896,0.9115,0.9434,0.63899,1.11389,0.57254,0.84981,0.0004358,0.0004358,0.0004358
81,1673.85,0.93763,0.58336,0.82559,0.92051,0.87611,0.94188,0.66437,1.01991,0.56126,0.84516,0.000416,0.000416,0.000416
82,1695.18,0.97245,0.56916,0.82948,0.9358,0.86726,0.94405,0.65031,1.04509,0.56517,0.84808,0.0003962,0.0003962,0.0003962
83,1717.22,0.91703,0.56117,0.82092,0.91712,0.88138,0.94578,0.65813,1.07857,0.58089,0.84543,0.0003764,0.0003764,0.0003764
84,1735.8,0.88842,0.57377,0.8268,0.89788,0.84956,0.93036,0.66411,1.00906,0.54156,0.84851,0.0003566,0.0003566,0.0003566
85,1758.14,0.87217,0.56698,0.84246,0.89975,0.87365,0.94494,0.67708,1.00396,0.55027,0.85185,0.0003368,0.0003368,0.0003368
86,1776.94,0.87852,0.53133,0.83012,0.87309,0.89381,0.94427,0.67344,1.02233,0.55819,0.8564,0.000317,0.000317,0.000317
87,1799.66,0.90073,0.67463,0.79914,0.94361,0.88849,0.95176,0.65245,1.02095,0.56282,0.85314,0.0002972,0.0002972,0.0002972
88,1818.02,0.93535,0.5741,0.82575,0.92297,0.89381,0.94309,0.64331,1.0472,0.61442,0.8491,0.0002774,0.0002774,0.0002774
89,1840.05,0.92723,0.57577,0.83878,0.94271,0.85841,0.93795,0.65019,1.04039,0.58214,0.84916,0.0002576,0.0002576,0.0002576
90,1859.84,0.88268,0.56141,0.82033,0.94804,0.85841,0.94002,0.67587,1.00721,0.57098,0.84485,0.0002378,0.0002378,0.0002378
91,1897.5,0.87843,0.55819,0.82897,0.92382,0.90265,0.93833,0.63816,1.07652,0.57478,0.84407,0.000218,0.000218,0.000218
92,1920.63,0.85245,0.54086,0.82425,0.9338,0.87389,0.93248,0.67323,0.9961,0.56739,0.84458,0.0001982,0.0001982,0.0001982
93,1941.53,0.8428,0.53651,0.79875,0.94696,0.84956,0.94768,0.67062,1.01082,0.56199,0.83988,0.0001784,0.0001784,0.0001784
94,1961.79,0.8504,0.53173,0.80621,0.961,0.87229,0.95171,0.66852,1.03395,0.56717,0.84148,0.0001586,0.0001586,0.0001586
95,1979.94,0.76253,0.50462,0.78191,0.92943,0.86726,0.93802,0.66561,1.01569,0.5579,0.84326,0.0001388,0.0001388,0.0001388
96,2000.36,0.8156,0.50738,0.81686,0.90142,0.89381,0.94783,0.66965,1.03965,0.54113,0.84382,0.000119,0.000119,0.000119
97,2022.01,0.85829,0.66055,0.7924,0.95146,0.8673,0.94646,0.67598,1.01007,0.54111,0.84473,9.92e-05,9.92e-05,9.92e-05
98,2042.2,0.7949,0.49411,0.80508,0.94325,0.88247,0.9438,0.67902,0.99432,0.53511,0.84333,7.94e-05,7.94e-05,7.94e-05
99,2059.29,0.8014,0.51688,0.80816,0.94794,0.9115,0.96026,0.68822,0.98267,0.53441,0.84027,5.96e-05,5.96e-05,5.96e-05
100,2080.69,0.83044,0.52602,0.81822,0.92128,0.9115,0.95831,0.68897,0.97665,0.53054,0.84053,3.98e-05,3.98e-05,3.98e-05
